項目,類別,資料集名稱,資料集描述,網址,格式
44,其他,台灣電力公司_招標決標件數比較表,提供台電每年招標決標件數比較表,http://data.gov.tw/node/29941,CSV
43,其他,台灣電力公司_惜物網拍賣金額,台灣電力公司透過台北惜物網拍賣廢料金額,http://data.gov.tw/node/29940,CSV
42,其他,台灣電力公司_燃料油採購價格及數量,提供台電公司過去四年燃料油年平均採購價格及數量,http://data.gov.tw/node/29952,CSV
41,其他,台灣電力公司_柴油採購價格及數量,提供台電公司過去四年柴油年平均採購價格及數量,http://data.gov.tw/node/29944,CSV
40,其他,台灣電力公司_各煤源國燃煤採購數量暨比例,提供台電公司過去三年各煤源國燃煤採購數量暨比例,http://data.gov.tw/node/29934,CSV
39,其他,經濟部主管核能發電後端營運基金會計月報,提供核能發電後端營運基金之會計月報相關資料,http://data.gov.tw/node/20424,XML
38,其他,經濟部主管核能發電後端營運基金決算資料,提供核能發電後端營運基金之前一年度決算資料,http://data.gov.tw/node/20421,XML
37,其他,台灣電力公司_會計報表,提供台電公司每月會計月報內容，供社會大眾下載參考利用,http://data.gov.tw/node/18917,XML
36,其他,台灣電力公司_決算主要表,台電公司最近一年度決算主要表內容,http://data.gov.tw/node/18911,XML
35,其他,台灣電力公司_人力現況分析,台灣電力公司為持續改善老化人力結構及紓緩退休潮衝擊企業經營，近年來持續、有計劃性補充更新人力，有效緩和平均年齡大幅上揚之趨勢，本資料集說明台電人力現況，包含員工數、年齡、教育程度，及工作績效等，以供大眾瞭解，並可下載利用。,http://data.gov.tw/node/16955,ODT*
34,其他,台灣電力公司_信用評等,台電公司『企業體』信用評等等級表,http://data.gov.tw/node/16884,ODS*
33,其他,台灣電力公司_公司債,台電公司公司債相關資訊,http://data.gov.tw/node/16883,ODS*
32,其他,台灣電力公司_預算主要表,台電公司預算主要表內容,http://data.gov.tw/node/12336,XML
31,其他,經濟部主管核能發電後端營運基金預算案主要表,公開由經濟部主管之核能發電後端營運基金年度預算案主要表,http://data.gov.tw/node/12755,XML
30,其他,台灣電力公司_財務資訊,提供台電公司財務相關資訊,http://data.gov.tw/node/10857,EXCEL
29,發電,台灣電力公司_近10年核能發電績效及減碳效益,提供近10年各年度核能發電量、容量因數平均值及減碳效益,http://data.gov.tw/node/10859,ODS*
28,其他,台灣電力公司_重要電業經營績效,提供台電公司近10年主要經營績效指標實績、獲獎項目等,http://data.gov.tw/node/10855,WORD
